15313961	gupta birnbaum uretsky	calculation of creatinine clearance based on unadjusted body weight leads to errors in renal and heart failure patients	Circulation.
18618362	gupta gupta khera	dexamethasone cyclophosphamide pulse therapy in systemic lupus erythematosus a case report	to put systemic lupus erythematosus lrb sle rrb in remission for a prolonged period dexamethasone cyclophosphamide pulse lrb dcp rrb therapy be use in a 40yearold female with sle of 3 year duration dcp therapy comprise a intravenous infusion of 100 mg dexamethasone in 500 ml of 5 glucose over 11 lrb 12 rrb hour on 3 consecutive day along with cyclophosphamide 500 mg in the same drip on the first day this be repeat at 4week interval till 9 month after all the lesion clear in between the dcp therapy she be give 50 mg cyclophosphamide orally daily the skin lesion clear with 11 dcp therapy there be no relapse 24 month after stop all treatment dcp therapy appear to put sle into prolonged remission	J_Dermatolog_Treat.
22121266	gupta	plantar warts treated with topical adapalene	treatment of plantar wart cause by human papilloma virus lrb hpv rrb strain type 1 2 and 4 be often difficult and a challenging problem various therapeutic modality available for treat this problem have not be uniformly successful the purpose of present study be to evaluate the efficacy of adapalene apply locally with occlusion in plantar wart a total of 10 patient with 118 plantar wart be include in a open study all be treat by apply adapalene gel 01 after pare of wart if need follow by occlusive dress with polythene paper in each patient the effect of the treatment be evaluate every week till the clearance of all wart adapalene be use in 10 patient have 118 plantar wart all the wart clear in 39 1507 day there be no side effect like scar formation irritation erythema or infection with adapalene adapalene clear the plantar wart faster compare to other modality available need trial with large number of patient	Indian_J_Dermatol.
20833399	gupta baldock fielden prest grieve	isotachophoresisbased sample preparation of cellulases in sugarcane juice using bovine serum albumin as a model protein	the foremost requirement of quantification of cellulase express in genetically modify sugarcane be a efficient sample cleanup this work investigate the feasibility of isotachophoresis for this purpose a electrolyte system comprise a lead electrolyte of 10mm formic acid at ph 90 and a terminate electrolyte of 10mm alanine be devise and use to perform isotachophoresis of cellulase the use of a simple front cutting method remove a majority of interfere species in the juice thereby result in the formation of a distinct zone of desire protein in comparison to technique such as ultrafiltration and liming the analysis time and loss of desire protein be lower when the sample be prepare by use isotachophoresis hence isotachophoresis be a ideal choice for purification of the protein in question from the remain component in the juice	J_Chromatogr_A.
21726866	gupta baldock fielden grieve	capillary zone electrophoresis for the analysis of glycoforms of cellobiohydrolase	cellobiohydrolase lrb cbh rrb be a important enzyme for the conversion of lignocellulosic biomass to ethanol this work separate the glycoform of cbh possess different number of neutral mannose use capillary zone electrophoresis lrb cze rrb in a 50 mm ph 75 phosphate buffer the method analyse cbh in a intact form use a polyacrylamide coated fuse silica capillary without require additive or labelling of the enzyme the migration time of the major peak be find to be 216 01 min lrb n 3 rrb and the approach be suitable for testing of batchtobatch consistency of cbh easeofuse automation and speed be the other benefit due to which the use of cze for analyse glycoform of cbh be conclude to be ideal	J_Chromatogr_A.
22020312	gupta baldock carreras fielden goddard mohr razavi brown	a microfluidic device for selfsynchronised production of droplets	the primary requirement for a mix operation in dropletbased microfluidic device be a accurate pairing of droplet of reaction fluid over a extended period of time in this paper a novel device for selfsynchronous production of droplet have be demonstrate the device use a change in impedance across a pair of electrode introduce due to the passage of a preformed droplet to generate a second droplet at a second pair of electrode the device be characterise use image analysis droplet with a volume of 235 31 nl lrb ie 93 of the volume of preformed droplet rrb be produce on apply a voltage of 500 v the synchronisation efficiency of the device be 83 as the device enable selfsynchronised production of droplet it have a potential to increase the reliability and robustness of mix operation in dropletbased microfluidic device	Lab_Chip.
23152951	gupta bastani goddard grieve	absorption spectroscopy in microfluidic flow cells using a metal clad leaky waveguide device with a porous gel waveguide layer	broadband absorption spectroscopy be advantageous because the full spectral profile of a analyte can permit identification of species this work for the first time investigate the feasibility of a metal clothe leaky waveguide lrb mclw rrb device to obtain a absorption spectrum of a analyte of interest methylene blue use a white light source in a microfluidic flow cell the mclw device comprise a porous low refractive index gel agarose deposit on a titanium coated glass slide the device be capable of detect 23 m of methylene blue at a wavelength of 650 nm the corresponding minimum detectable absorbance be 16 10 lrb 1 rrb cm lrb 1 rrb in comparison to commonly use detection device the mclw be simpler robust easier to fabricate and can be easily interface to microfluidic device it be also possible to store the mclw device dry for up to a year and rehydrate they in 30 s to a work condition	Analyst.
23370342	gupta goddard	a novel leaky waveguide grating lwg device for evanescent wave broadband absorption spectroscopy in microfluidic flow cells	evanescent wave lrb ew rrb broadband absorption spectroscopy be commonly interface with a range of analytical system include microfluidic flow cell for identification and quantitation of species a miniaturised spectrometer integrate with a microfluidic flow cell be useful to permit onsite analysis of sample this work report a novel leaky waveguide grate lrb lwg rrb device which be able to obtain a absorption spectrum of a analyte of interest lrb in this case methylene blue rrb without a external spectrometer at 600 nm the spectral resolution and the minimum detectable absorption coefficient of the lwg device be 495 nm and 165 cm lrb 1 rrb respectively the lwg can be fabricate on birefringent substrate such as plastic because the performance of the device be independent of the polarisation of the excitation source the lwg device be fabricate use microcontact printing and hence can be easily mass produce	Analyst.
15023041	gupta jain deo sharma	flow cytometric analysis of cd5 b cells a frame of reference for minimal residual disease analysis in chronic lymphocytic leukemia	recent report suggest that cd5 b cell constitute up to 47 of the total b cell in normal peripheral blood lrb pb rrb a finding that would restrict the sensitivity of the cd5cd19 flow cytometric assay for minimal residual disease lrb mrd rrb analysis in chronic lymphocytic leukemia lrb cll rrb we study 40 normal sample lrb pb 20 bone marrow lsb bm rsb 20 rrb use cd5fluorescein isothiocyanate lrb fitc rrb cd19phycoerythrin lrb pe rrb immunostaining to evaluate the reference range of cd5 b cell the mean percentage of cd5 b cell per total number of b cell be 122 lrb range 36 239 rrb in pb and 117 lrb range 44 195 rrb in bm on serial dilution this assay could detect 1 cll cell in 1000 leukocyte lrb sensitivity 0 1 rrb a distinct bright cd5 bcell subpopulation consistent with a clllikephenotype be observe in 3 sample we result suggest that the cd5fitccd19pe assay have a clinically useful sensitivity for mrd analysis in cll the usefulness of this assay as a screening tool to identify the earliest stage of indolent cll need further study	Am_J_Clin_Pathol.
15164378	gupta jain anand	acute basophilic leukemia case report	the term basophilic leukemia have be in use for 75 year however consistent diagnostic criterion be lack this be due to the rarity of the disease and to the routine unavailability of special test that be often require to confirm a diagnosis we report a unusual case of acute basophilic leukemia in a child who be refer to we center arrive with partially treat acute lymphoblastic leukemia basophilic differentiation on light microscopy be evident from the coarse basophilic granule in blast a progressive maturation of blast toward basophil and toluidine positivity on cytochemistry blast show a myeloid immunophenotype lrb cd13 cd33 cd117 rrb with a characteristic dual positivity for cd34 and cd25 highly suggestive of basophilic nature of the blast conventional cytogenetic study reveal translocation t lrb 8 21 rrb lrb q22 q22 rrb a diagnosis of acute basophilic leukemia with t lrb 8 21 rrb be make review of pretherapy slide show feature consistent with amlm2 with basophilia there be no basophilic blast with these feature a diagnosis of acute basophilic leukemia secondary to amlm2 be make in we patient basophilic leukemia appear to have evolve from selective clonal proliferation of basophilcommitted blast during the course of the disease in a case of amlm2 with basophilia	Am_J_Hematol.
16637808	gupta parsi	chronic urticaria due to blastocystis hominis	a 24yearold woman have a 9week history of second to third daily urticaria that begin after a episode of contact urticaria to topical bufexamac she be find to have a underlying gastrointestinal infection with blastocystis homini this be think to be clinically relevant as she have a history of mild chronic diarrhoea after treatment of the blastocystis homini she urticaria cease this could indicate the importance of perform stool microscopy and culture on all patient with chronic urticaria of unknown aetiology the relationship of urticaria to intestinal parasite and the possibility that nonsteroidal antiinflammatory medication could act as cofactor that help precipitate a urticarial reaction be discuss	Australas_J_Dermatol.
17001914	gupta jain bakshi sharma	primary hodgkins disease of spleena case report	primary malignant lymphoma of spleen be rare with primary hodgkin s disease lrb hd rrb of spleen be rarer the diagnosis of primary splenic hd be usually make on the histopathological examination of the splenectomy specimen we report a interesting case of primary hd of spleen in a child emphasize its rarity and the role of fine needle aspirate cytology in early diagnosis and nonsurgical management of this entity	Indian_J_Pathol_Microbiol.
17474267	gupta naseem kashyap nityanand	immunophenotypic patterns in precursor tcell neoplasm	tcell lymphoproliferative disorder be a heterogeneous group of lymphoid neoplasm that can mimic both benign condition and nonhematopoietic tumor in routine clinical practice morphology and immunophenotyping form the basis of they diagnosis in this retrospective analysis we evaluate the utility of flow cytometric immunophenotyping pattern in diagnosis of precursor tcell neoplasm aberrant expression of tcell antigen be find in all the case of precursor tcell neoplasm the residual normal tlymphocyte identifiable in majority of case be find to be useful in evaluation of quantitative difference in antigen expression by leukemic cell a careful analysis of flow cytometric immunophenotyping datum can provide additional information which be useful for diagnosis of precursor tcell neoplasm this information can be further utilize for analysis of minimal residual disease in these tumor	Indian_J_Pathol_Microbiol.
17580342	gupta naseem kashyap paul	role of fineneedle aspirate immunophenotyping by flow cytometry in rapid diagnosis of lymphoproliferative disorders	immunophenotyping be a essential component in the diagnostic workup of lymphoproliferative disorder lrb lpd rrb as compare to immunohistochemistry flow cytometric immunophenotyping lrb fcmi rrb be rapid quantitative and a more objective technique this study be design to evaluate the utility of fcmi on fine needle aspirate lrb fna rrb in rapid diagnosis of lpd in routine clinical practice fna from 31 consecutive case clinically suggestive of lpd be subject to fcmi representative material for fcmi be obtain in 28 lrb 90 rrb case and a definite diagnosis establish in 27 case histopathogical correlation be available in 22 case and concordance with fcmi result be observe in 19 lrb 864 rrb case fcmi analysis be inconclusive in 4 case the result of fcmi be available the same day and be crucial for therapeutic purpose in 3 patient with superior vena cava syndrome fcmi combine with cytological examination of aspirate smear permit rapid diagnosis with high level of accuracy result in efficient treatment planning for critically ill patient and those from faroff rural area	Diagn_Cytopathol.
18417879	gupta naseem sukumaran kashyap kaur paul	splenic lymphoma with villous lymphocytes	splenic lymphoma with villous lymphocyte lrb slvl rrb be a rare disorder that comprise less than 1 of lymphoid neoplasm it be the leukemic counterpart of splenic marginal zone lymphoma lrb smzl rrb and be characterize by splenomegaly often with no lymphadenopathy moderate lymphocytosis and villous lymphocyte on peripheral blood smear here we report a case of slvl in a 56yearold male with very high leukocyte count massive splenomegaly and relatively few leukemic cell with subtle villous projection on the surface this disorder be often confuse with other chronic lymphoproliferative disorder especially chronic lymphocytic leukemia lrb cll rrb and hairy cell leukemia and should be differentiate from they we be report this case to highlight the diagnostic pitfall associate with this disorder	Indian_J_Pathol_Microbiol.
19846814	gupta bhaskar kumar sharma jain	flow cytometric immunophenotyping and minimal residual disease analysis in multiple myeloma	presence of normal plasma cell lrb pc rrb hemodilution of bone marrow aspirate and change in the immunophenotype be important consideration in minimal residual disease lrb mrd rrb assessment in multiple myeloma lrb mm rrb we evaluate 124 subjects107 with mm 11 with hodgkin lymphoma and 6 allogeneic stem cell transplantation donorsfor the immunophenotype of neoplastic reactive and normal pc respectively of the patient with mm 36 be evaluate for mrd and 23 for a change in immunophenotype after chemotherapy the immunophenotype of normal and reactive pc be similar and differ from that of neoplastic pc with respect to cd19 cd45 cd56 cd52 cd20 and cd117 at least 2 antigen be aberrantly express in all case and 3 in 907 of mm case a change in the immunoprofile of pc be observe in 18 lrb 78 rrb of 23 case by use flow cytometry we detect mrd in all sample and a neoplastic pc index lrb percentage of neoplastic pcstotal bone marrow pc rrb of less than 30 could differentiate immunofixation lrb ifx rrb from ifx sample lrb complete and partial responder respectively rrb	Am_J_Clin_Pathol.
21146215	gupta ganeshan hakim verma sharma kumar	significantly reduced regulatory t cell population in patients with untreated multiple myeloma	increase in regulatory tcell have be demonstrate in hematological malignancy but conflict result have be report in multiple myeloma lrb mm rrb in this study we report a decrease in frequency of regulatory tcell as well as reduce expression of foxp3 in untreated mm patient which increase significantly after treatment regulatory tcell of mm patient exhibit immunosuppressive activity in a in vitro assay reduce regulatory tcell in untreated mm patient which increase after treatment with thalidomide suggest the analysis of treat and untreated patient as a single cohort as cause of conflicting result in earlier study on regulatory tcell in mm	Leuk_Res.
15878853	gupta sharma sommers jin cantor brosh	analysis of the dna substrate specificity of the human bach1 helicase associated with breast cancer	we have investigate the dna substrate specificity of bach1 lrb brca1associated cterminal helicase rrb the importance of various dna structural element for efficient unwind by purify recombinant bach1 helicase be examine the result indicate that bach1 preferentially bind and unwind a fork duplex substrate compare with a duplex flank by only one singlestranded dna lrb ssdna rrb tail in support of its dna substrate preference helicase sequestration study reveal that bach1 can be preferentially trap by fork duplex molecule bach1 helicase require a minimal 5 ssdna tail of 15 nucleotide for unwind of conventional duplex dna substrate however the enzyme be able to catalytically release the third strand of the homologous recombination intermediate dloop structure irrespective of dna tail status in contrast bach1 completely fail to unwind a synthetic holliday junction structure moreover bach1 require nucleic acid continuity in the 5 ssdna tail of the fork duplex substrate within six nucleotide of the ssdnadsdna junction to initiate efficiently dna unwind these study provide the first detailed information on the dna substrate specificity of bach1 helicase and provide insight to the type of dna structure the enzyme be likely to act upon to perform its function in dna repair or recombination	J_Biol_Chem.
17346143	gupta brosh	dna repair helicases as targets for anticancer therapy	the genetic complexity of cancer have pose a formidable challenge to devise successful therapeutic treatment tumor resistance to cytotoxic chemotherapy drug and radiation which induce dna damage have limit they effectiveness targeting the dna damage response be a strategy for combate cancer the prospect for success of chemotherapy treatment may be improve by the selective inactivation of a dna repair pathway a key class of protein involve in various dna repair pathway be comprise of energydriven nucleic acid unwind enzyme know as helicase dna helicase have be either implicate or have propose role in nucleotide excision repair mismatch repair base excision repair double strand break repair and most recently crosslink repair in addition to dna repair helicase have be implicate in the cellular process of replication recombination transcription and rna stabilityprocessing the emerge evidence indicate that helicase have vital role in pathway necessary for the maintenance of genomic stability in support of this a grow number of human genetic disorder be attribute to mutation in helicase gene because of they essential role in nucleic acid metabolism and more specifically the dna damage response helicase may be a suitable target of chemotherapy in this review we have explore this hypothesis and provide a conceptual framework for combinatorial treatment that might be use for combate cancer by inhibit helicase function in tumor cell that already have compromise dna repair andor dna damage signaling this review be focus on helicase pathway with a special emphasis on dna crosslink repair and double strand break repair that impact cancer biology and how cancer cell may be chemosensitize through the impairment of helicase function	Curr_Med_Chem.
17596542	gupta sharma sommers kenny cantor brosh	fancj bach1 helicase forms dna damage inducible foci with replication protein a and interacts physically and functionally with the singlestranded dnabinding protein	the brca1 associate cterminal helicase lrb bach1 designate fancj rrb be implicate in the chromosomal instability genetic disorder fanconi anemia lrb fa rrb and hereditary breast cancer a critical role of fancj helicase may be to restart replication as a component of downstream event that occur during the repair of dna crosslink or doublestrand break we investigate the potential interaction of fancj with replication protein a lrb rpa rrb a singlestranded dnabinding protein implicate in both dna replication and repair fancj and rpa be show to coimmunoprecipitate most likely through a direct interaction of fancj and the rpa70 subunit moreover dependent on the presence of brca1 fancj colocalize with rpa in nuclear focus after dna damage we datum be consistent with a model in which fancj associate with rpa in a dna damageinducible manner and through the protein interaction rpa stimulate fancj helicase to better unwind duplex dna substrate these finding identify rpa as the first regulatory partner of fancj the fancjrpa interaction be likely to be important for the role of the helicase to more efficiently unwind dna repair intermediate to maintain genomic stability	Blood.
18473724	gupta brosh	helicases as prospective targets for anticancer therapy	it have be propose that selective inactivation of a dna repair pathway may enhance anticancer therapy that eliminate cancerous cell through the cytotoxic effect of dna damaging agent or radiation give the unique and critically important role of dna helicase in the dna damage response dna repair and maintenance of genomic stability a number of strategy currently be explore or in use to combat cancer may be either mediate or enhance through the modulation of helicase function the focus of this review will be to examine the role of helicase in dna repair that might be suitably target by cancer therapeutic approach treatment of cancer with anticancer drug such as small molecule compound that modulate helicase expression or function be a viable approach to selectively kill cancer cell through the inactivation of helicasedependent dna repair pathway particularly those associate with dna recombination replication restart and cell cycle checkpoint	Anticancer_Agents_Med_Chem.
11999090	gupta gupta sarna bhatnagar thanvi sharma singh gupta kaul	prevalence of coronary heart disease and risk factors in an urban indian population jaipur heart watch2	the prevalence of risk factor for coronary heart disease have be inadequately study in india a repeat crosssectional survey be carry out to evaluate the change in the major coronary risk factor in the urban population of jaipur previously study in the early 1990s randomly select adult or 20 year of age be study use stratified sampling the target study sample be 1800 with a population proportionate gender distribution lrb male 960 female 840 rrb coronary risk factor anthropometric variable blood pressure ecg fast blood glucose and lipid be evaluate a total of 1123 subject lrb 624 rrb lrb male 550 female 573 rrb be examine fast blood sample be available in 523 male and 559 female overall coronary heart diesase prevalence diagnose by history or ecg change be find in 34 male lrb 618 rrb and 58 female lrb 1012 rrb risk factor prevalence show that smokingtobacco use be present in 201 male lrb 365 rrb and 67 female lrb 117 rrb physical inactivity either workrelated or leisure time be see in 157 male lrb 285 rrb and 130 female lrb 227 rrb hypertension lrb or 140 andor 90 mmhg rrb be present in 200 male lrb 364 rrb and 215 female lrb 375 rrb diabetes diagnose by history or fasting glucose or 126 mgdl be find in 72 male lrb 131 rrb and 65 female lrb 113 rrb obesity body mass index or 27 kgm2 be present in 135 male lrb 245 rrb and 173 female lrb 302 rrb while truncal obesity lrb waist hip 09 male 08 female rrb be find in 316 male lrb 574 rrb and 392 female lrb 684 rrb the most common dyslipidemia in both male and female be low hdlcholesterol lrb 40 mgdl male 549 female 542 rrb high total cholesterol level of or 200 mgdl lrb male 374 female 41 rrb high ldlcholesterol level of or 130 mgdl lrb male 370 female 458 rrb and high level of triglyceride or 150 mgdl lrb male 323 female 286 rrb be also see in a significant number hypertension obesity truncal obesity diabetes and dyslipidemia increase significantly with age in both male and female lrb mantelhaenzel chi2 for trend p 005 rrb there be a high prevalence of standard coronary risk factor smoking physical inactivity hypertension hypercholesterolemia diabetes and obesity as well as factor peculiar to south asians truncal obesity low hdlcholesterol and high triglyceride in this urban indian population as compare to a previous study in the early 1900s in a similar population there be a significant increase in the number of people with obesity diabetes and dyslipidemia	Indian_Heart_J.
12874610	gupta sharma gupta bhatnagar rastogi deedwania	increased variance in blood pressure distribution and changing hypertension prevalence in an urban indian population	the objective of the study be to determine trend in agespecific blood pressure lrb bp rrb distribution and hypertension prevalence in a urban indian population in successive hypertension epidemiological study lrb 1995 and 2002 rrb randomly select 2212 subject lrb 1412 man 797 woman rrb in the first and 1123 subject lrb 550 man 573 woman rrb in the second study be evaluate bp be measure use world health organization guideline and hypertension diagnose use the american joint national committeevi report agespecific bp level in the first and the second study be determine and compare the mean value of systolic and diastolic bp be not significantly different in various age group in the first and the second study there be a increase variance in the second study as denote by the significant increase in standard deviation and coefficient of variation in systolic as well as diastolic bp level at age group or 50 year in man and or 40 year in woman lrb p 005 rrb the ageadjusted prevalence of hypertension lrb known or bp or 140 or 90 mmhg rrb in the first study be 295 lrb man rrb and 335 lrb woman rrb and in the second study be 300 lrb man rrb and 303 lrb woman rrb lrb p ns rrb in the second as compare to the first study there be decrease in ageadjusted prevalence of stage i hypertension lrb man 168 vs 249 woman 154 vs 275 rrb and increase in stage ii hypertension lrb man 117 vs 28 woman 188 vs 31 rrb and combined stage ii and iii hypertension lrb man 135 vs 47 woman 167 vs 60 rrb lrb p 001 rrb this change be associate with greater prevalence of obesity in the second study in conclusion increase systolic and diastolic bp dispersion over a 7year period in this urban population be associate with unchanged hypertension prevalence decline in stage i hypertension and upsurge in more severe grade increase environmental factor particularly obesity appear important	J_Hum_Hypertens.
18083949	gupta joshi mohan reddy yusuf	epidemiology and causation of coronary heart disease and stroke in india	cardiovascular disease be major cause of mortality and disease in the indian subcontinent cause more than 25 of death it have be predict that these disease will increase rapidly in india and this country will be host to more than half the case of heart disease in the world within the next 15 year coronary heart disease and stroke have increase in both urban and rural area casecontrol study indicate that tobacco use obesity with high waist hip ratio high blood pressure high ldl cholesterol low hdl cholesterol abnormal apolipoprotein a1 b ratio diabetes low consumption of fruit and vegetable sedentary lifestyle and psychosocial stress be important determinant of cardiovascular disease in india these risk factor have increase substantially over the past 50 year and to control further escalation it be important to prevent they national intervention such as increase tobacco tax label unhealthy food and trans fat reduction of salt in process food and better urban design to promote physical activity may have a wide shortterm impact	Heart.
21306620	gupta guptha joshi xavier	translating evidence into policy for cardiovascular disease control in india	cardiovascular disease lrb cvd rrb be lead cause of premature mortality in india evidence from developed country show that mortality from these can be substantially prevent use populationwide and individualbased strategy policy initiative for control of cvd in india have be suggest but evidence of efficacy have emerge only recently these initiative can have immediate impact in reduce morbidity and mortality of the prevention strategy primordial involve improvement in socioeconomic status and literacy adequate healthcare financing and public health insurance effective national cvd control programme smoking control policy legislative control of saturated fat trans fat salt and alcohol and development of facility for increase physical activity through better urban planning and schoolbased and worksite intervention primary prevention entail change in medical educational curriculum and improve healthcare delivery for control of cvd risk factorssmoking hypertension dyslipidemia and diabetes secondary prevention involve creation of facility and human resource for optimum acute cvd care and secondary prevention there be need to integrate various policy maker develop effective policy and modify healthcare system for effective delivery of cvd preventive care	Health_Res_Policy_Syst.
21947630	gupta guptha gupta agrawal gaur deedwania	twentyyear trends in cardiovascular risk factors in india and influence of educational status	urban middlesocioeconomic status lrb ses rrb subject have high burden of cardiovascular risk factor in lowincome country to determine secular trend in risk factor among this population and to correlate risk with educational status we perform epidemiological study in india five crosssectional study be perform in middleses urban location in jaipur india from year 1992 to 2010 cluster sampling be perform subject lrb man woman rrb aged 2059 year evaluate be 712 lrb 459 253 rrb in 199294 558 lrb 286 272 rrb in 19992001 374 lrb 179 195 rrb in 200203 887 lrb 414 473 rrb in 200405 and 530 lrb 324 206 rrb in 200910 datum be obtain by history anthropometry and fast blood glucose and lipid estimation response rate vary from 55 to 75 mean value and risk factor prevalence be determine secular trend be identify use quadratic and loglinear regression and chisquared for trend across the study there be high prevalence of overweight hypertension and lipid abnormality age and sexadjusted trend show significant increase in mean body mass index lrb bmi rrb fast glucose total cholesterol highdensity lipoprotein lrb hdl rrb cholesterol and triglyceride lrb quadratic and loglinear regression p 0001 rrb systolic blood pressure lrb bp rrb decrease while insignificant change be observe for waisthip ratio and lowdensity lipoprotein lrb ldl rrb cholesterol categorical trend show increase in overweight and decrease in smoking lrb p 005 rrb insignificant change be observe in truncal obesity hypertension hypercholesterolaemia and diabetes adjustment for educational status attenuate linear trend in bmi and total and ldl cholesterol and accentuate trend in systolic bp glucose and hdl cholesterol there be significant association of a increase in education with decline in smoking and a increase in overweight lrb twoline regression p 005 rrb in indian urban middleses subject there be high prevalence of cardiovascular risk factor over a 20year period bmi and overweight increase smoking and systolic bp decrease and truncal obesity hypercholesterolaemia and diabetes remain stable increase educational status attenuate trend for systolic bp glucose and hdl cholesterol and bmi	Eur_J_Prev_Cardiol.
22664803	gupta agrawal misra guptha vikram	metabolic cardiovascular risk factors worsen continuously across the spectrum of body mass index in asian indians	to determine relationship of body mass index lrb bmi rrb with multiple cardiovascular risk factor populationbased survey be perform and 1893 subject aged 2059 year evaluate datum be collect use anthropometry and fasting glucose and lipid estimation statistical analysis be perform use curve fit and logistic regression body mass index be correlate significantly lrb rho r lrb 2 rrb rrb with weight lrb 080 064 rrb waist lrb 074 055 rrb and waist hip ratio lrb 024 006 rrb lrb p 005 rrb linear relationship be observe with systolic blood pressure lrb sbp rrb lrb 039 015 rrb diastolic blood pressure lrb dbp rrb lrb 029 008 rrb fast glucose lrb 013 002 rrb cholesterol lrb 010 001 rrb highdensity lipoprotein cholesterol lrb hdlc rrb lrb 016 003 rrb and triglyceride lrb 012 001 rrb significant trend of risk factor with each increase bmi unit lrb lrb 2 rrb test p 0001 rrb be observe for hypertension lrb htn rrb lrb 2144 rrb diabetes lrb 295 rrb metabolic syndrome lrb 1089 rrb and low hdlc lrb 405 rrb and weaker trend with hypercholesterolemia lrb 206 rrb and hypertriglyceridemia lrb 96 rrb there be exponential relationship of bmi with age and sexadjusted odds ratio for htn diabetes and metabolic syndrome metabolic cardiovascular risk factor continuously worsen with increase bmi	Indian_Heart_J.
23382331	gupta deedwania achari bhansali gupta gupta mahanta asirvatham gupta maheshwari saboo jali singh guptha sharma	normotension prehypertension and hypertension in urban middleclass subjects in india prevalence awareness treatment and control	we conduct a multisite study to determine the prevalence and determinant of normotension prehypertension and hypertension and awareness treatment and control of hypertension among urban middleclass subject in india we evaluate 6106 middleclass urban subject lrb man 3371 woman 2735 response rate 62 rrb in 11 city for sociodemographic and biological factor the subject be classify as have normotension lrb bp 12080 rrb prehypertension lrb bp 12013980 89 rrb and hypertension lrb document or bp 14090 rrb the prevalence of other cardiovascular risk factor be determine and association evaluate through logistic regression analysis the ageadjusted prevalence in man and woman of normotension be 267 and 391 of prehypertension 402 and 301 and of hypertension 325 and 304 respectively the prevalence of normotension decline with age whereas that of hypertension increase lrb ptrend 001 rrb a significant association of normotension be find with younger age low dietary fat intake lower use of tobacco and low obesity lrb p 005 rrb the prevalence of hypercholesterolemia diabetes and metabolic syndrome be higher in the group with prehypertension and hypertension than in the group with normotension lrb ageadjusted odds ratio lrb or rrb 205 0 p 0001 rrb the prevalence in man and woman respectively of two or more risk factor be 111 and 64 in the group with normotension 251 and 233 in the group with prehypertension and 383 and 391 in the group with hypertension lrb p 001 rrb awareness of hypertension in the study population be in 553 365 of the hypertensive group be receive treatment for hypertension and 282 of this group have a controlled bp lrb 14090 mm hg rrb the study find a low prevalence of normotension and high prevalence of hypertension in middleclass urban asian indians significant association of hypertension be find with age dietary fat consumption of fruit and vegetable smoking and obesity normotensive individual have a lower prevalence of cardiometabolic risk factor than do member of the prehypertensive or hypertensive group half of the hypertensive group be aware of have hypertension a third be receive treatment for it and quarter have a controlled bp	Am_J_Hypertens.
23992997	gupta gupta khedar	smokeless tobacco and cardiovascular disease in low and middle income countries	smoking be a important cardiovascular risk factor however use of smokeless tobacco have not be well study smokeless tobacco use be high in country of south and southeast asia africa and northern europe metaanalysis of prospective study of smokeless tobacco user in europe report a relative risk for fatal coronary heart disease of 113 lrb confidence interval 1061 21 rrb and fatal stroke of 140 lrb 1281 54 rrb while in asian country it be 126 lrb 1121 40 rrb casecontrol study report significantly greater risk for acute coronary event in smokeless tobacco user lrb odds ratio 223 1413 52 rrb which be lower than smoker lrb 289 2113 96 rrb and subject who both chew and smoke have the greatest risk lrb 409 2985 61 rrb there be a greater prevalence of hypertension and metabolic syndrome in user of smokeless tobacco smokeless tobacco use lead to accelerate atherothrombosis similar to smoking there be a urgent need for public health and clinical intervention to reduce smokeless tobacco addiction	Indian_Heart_J.
