11724676	lee yew wong fu	nonhodgkins pleural lymphoma in longstanding tuberculous pyothorax mimicking suppuration	Int_J_Infect_Dis.
20345393	lee decker polimeni cortella rohrer wozney hall susin wikesjö	evaluation of implants coated with rhbmp2 using two different coating strategies a criticalsize supraalveolar periimplant defect study in dogs	implant coat with recombinant human bone morphogenetic protein2 lrb rhbmp2 rrb induce relevant bone formation but also resident bone remodelling to compare the effect of implant fully or partially coat with rhbmp2 on new bone formation and resident bone remodelling twelve male adult hound labrador mongrel dog be use criticalsize supraalveolar periimplant defect receive titanium porous oxide surface implant coat in they most coronal aspect with rhbmp2 lrb coronalloadsix animal rrb or by immersion of the entire implant in a rhbmp2 solution lrb soakloadsix animal rrb for a total of 30 mug rhbmp2 implant all implant be airdried the animal be euthanize at 8 week for histometric evaluation clinical healing be uneventful supraalveolar bone formation be not significantly affect by the rhbmp2 application protocol new bone height and area average lrb se rrb 34 02 versus 35 04 mm and 26 04 versus 25 07 mm lrb 2 rrb for coronalload and soakload implant respectively lrb p 005 rrb the corresponding bone density and boneimplant contact lrb bic rrb recording average 380 38 versus 344 56 and 250 38 versus 312 33 lrb p 005 rrb in contrast resident bone remodelling be significantly influence by the rhbmp2 application protocol bone density outside the implant thread average 747 38 and 508 41 for coronalload and soakload implant respectively lrb p 005 rrb bone density within the thread area average 518 12 and 378 29 and bic 701 67 and 433 39 lrb p 005 rrb local application of rhbmp2 appear to be a viable technology to support local bone formation and osseointegration coronalload implant obviate resident bone remodelling without compromise new bone formation	J_Clin_Periodontol.
18592134	lee noh hwang kim ahn koh cha	successful cyclophosphamide therapy with complete resolution of pulmonary artery aneurysm in hughesstovin syndrome patient	hughesstovin syndrome be a exceedingly rare disorder of unknown etiology and it be characterize by multiple pulmonary artery aneurysm and peripheral venous thrombosis we report a case of hughesstovin syndrome with complete resolution of pulmonary artery aneurysm after treatment with cyclophosphamide a 48yearold man present with massive hemoptysis fever and weight loss of 4month duration compute tomography angiography reveal multiple pulmonary arterial aneurysm of variable size in both lung field inferior vena caval thrombosis be also note despite multiple surgical procedure include embolectomy and lobectomy combine with steroid therapy new aneurysm continue to appear with persistent hemoptysis thorough history and physical examination do not suggest any evidence of behcet s disease hughesstovin syndrome be subsequently diagnose highdose prednisolone combine with oral cyclophosphamide therapy be initiate chest radiography followup in 3 month reveal complete resolution of pulmonary aneurysm no new aneurysm be detect at 15 month of followup	Clin_Rheumatol.
18841370	lee kim ahn hwang jang koh cha	ankylosing spondylitis in a patient with myelodysplastic syndrome an association with hlab27 or coincidence	the author report a unusual case of myelodysplastic syndrome lrb mds rrb associate with ankylose spondylitis lrb as rrb a 40yearoldman with mds present with chronic low back pain for 6 year four year ago mds be diagnose during routine blood analysis for the workup of he articular complaint he initial articular complaint be attribute to extramedullary manifestation of mds persistent low back pain with increase intensity finally lead the patient to seek medical attention radiograph of the pelvis show bilateral asymmetric sacroiliitis a diagnosis of as be establish on the basis of modify new york criterion although various autoimmune phenomenon associate with mds have be describe this be the first report of as in the setting of mds causal relationship between these two disorder be currently unknown increase risk of hematological disease as well as as in individual with a positive hlab27 provide a feasible explanation for this rare observation	Rheumatol_Int.
19831135	lee koh chung hong kim chung suh moon	underlying venous pathology causing perimesencephalic subarachnoid hemorrhage	perimesencephalic subarachnoid hemorrhage lrb psh rrb be a relatively benign clinical entity with a low risk of recurrent bleeding the precise etiology of psh have not yet be determine we report here three case of psh with clinical and radiological feature that support a venous system as a cause the first patient a 72yearold woman have psh and venous hemorrhagic infarct in the left thalamus on noncontrast ct subsequent cerebral angiography reveal widespread thrombosis in the cerebral venous system a potential cause for reflux overflow hemorrhage the second patient a 55yearold man with a established diagnosis of neurobehet s disease a wellknown cause for cerebral venulitis present with psh one year later the third patient a 39yearold female with incomplete behet s disease be admit with psh current concept on the anatomic origin and the possible pathophysiologic mechanism lead to psh be discuss the underlie pathological condition in the venous system in we case provide theoretical clue to the anatomic origin of psh in general	Can_J_Neurol_Sci.
20336287	lee ahn choi koh cha	mri findings in kirner deformity normal insertion of the flexor digitorum profundus tendon without softtissue enhancement	kirner deformity be characterize by volar and radial incurvature of the distal phalanx of the 5th finger a propose causative mechanism include abnormal distal insertion of the flexor digitorum profundus tendon along the volar surface of the distal phalanx of the 5th finger a chronic inflammatory process or altered vascularisation of the soft tissue have also be suggest as the underlie causative mechanism base on mri finding we present a teenage boy with kirner deformity along with supplementary imaging of he father who also have the deformity to illustrate mri finding that dispute the above hypothesis mri in both son and father show normal insertion of the deep flexor tendon and no sign of inflammation	Pediatr_Radiol.
20683738	lee noh hwang oh kim ahn lee cha koh	extended dosing of etanercept 25 mg can be effective in patients with ankylosing spondylitis a retrospective analysis	as a measure of healthcare cost containment the total number of vial of entanercept lrb 25 mg rrb that can be prescribe for patient with inflammatory arthritis be restricted in korea consequently attempt to extend the dosing interval while maintain the efficacy have not be a uncommon clinical practice the aim of this study be to determine if extend do interval of etanercept can be effective in patient with ankylose spondylitis lrb as rrb we perform a retrospective analysis use medical record at a single tertiary hospital one hundred and nine patient with as and 79 patient with rheumatoid arthritis lrb ra rrb start on etanercept between november 2004 and november 2009 be identify etanercept lrb 25 mg rrb be start with twiceweekly dosing schedule bath ankylosing spondylitis disease activity index lrb basdai rrb creactive protein lrb crp rrb and etanercept dosing interval for as patient at 0 3 9 15 21 month be review dosing interval for ra patient be analyze for comparison in as mean dosing interval be 47 21 day at 3 month and be increase to 121 70 day at 21 month despite the progressive increase in the dosing interval the mean basdai decline rapidly at 3 month and continue to decrease over 21 month mean crp decline after 3 month of therapy and remain low thereafter in ra mean dosing interval be 40 12 day at 3 month and 51 18 day at 21 month in conclusion in as extended dosing of etanercept can be effective without compromise clinical and laboratory marker of disease activity as measure by basdai and crp respectively taper of etanercept be less accommodate in ra when compare to as	Clin_Rheumatol.
21479604	lee park hwang oh kim bae choi han ahn cha koh	cip2a expression is associated with synovial hyperplasia and invasive function of fibroblastlike synoviocytes in rheumatoid arthritis	cancerous inhibitor of protein phosphatase 2a lrb cip2a rrb be a recently identify oncoprotein that lead to cellular proliferation in cancer cell we aim to investigate cip2a expression in fibroblastlike synoviocyte lrb fl rrb and its association with the histopathological grade of synovitis and the invasive function of fls in rheumatoid arthritis lrb ra rrb cip2a protein expression be measure in 8 ra fl and 8 oa fls use western blot analysis cip2a mrna expression from 19 ra fl and 7 oa fls be measure use realtime pcr synovitis score of ra flsmatched synovial tissue be semiquantitatively measure by two independent pathologist a in vitro cell invasion assay be perform use ra fl treat with cip2a small interfere rna lrb sirna rrb or with control vector western blot analysis show that cip2a be more frequently overexpress in ra fl compare with oa fls cip2a mrna expression be higher in ra fl compare with those in oa fls but do not reach statistical significance lrb p 0076 rrb in ra total synovitis score be strongly correlate with fls cip2a mrna expression lrb rs 0849 p 0043 rrb tnf treatment induce a robust increase in the invasive function of control fl lrb p 00021 rrb but no significant effect be observe in cip2a sirnatreated fl we datum demonstrate that cip2a expression be closely associate with the histopathological score of synovitis and invasive function of fls in ra these result suggest that cip2a may play a critical role in the destructive process in ra and warrant further investigation of cip2a as a therapeutic target	Rheumatol_Int.
21717191	lee park noh hwang bae ahn koh cha	underexpression of tim3 and blunted galectin9induced apoptosis of cd4 t cells in rheumatoid arthritis	the aim of this study be to compare the expression of tim3 from cd4 t cell from rheumatoid arthritis lrb ra rrb patient and healthy control and to evaluate the effect of galectin9 lrb gal9 rrb on apoptosis of cd4 t cell in these patient cd4 t cell from ra patient and healthy control be isolate from peripheral blood mononuclear cell and be activate the expression of tim3 mrna in cd4 t cell be measure use realtime polymerase chain reaction cd4 t cell be activate in the presence of grade dose of gal9 or control and gal9induced cytotoxicity and apoptotic activity of cd4 t cell be analyze use mtt assay and annexinv staining respectively tim3 mrna expression be significantly lower in cd4 t cell from ra patient compare with those in healthy control lrb p 0028 rrb cd4 t cell survival as measure by mtt assay when incubate with gal9 lrb 15 nm rrb be significantly higher in ra patient than in healthy control lrb p 0002 rrb apoptotic activity of cd4 t cell from healthy control as measure by annexin staining increase with grade dose of gal9 lrb 0 nm vs 30 nm 0 nm vs 90 nm p 0016 each rrb however apoptotic activity of cd4 t cell from ra patient do not change despite the stimulation with gal9 gal9mediated apoptosis of cd4 t cell be dysfunctional in ra patient blunt gal9mediated apoptosis may be exert through underexpression of tim3 that negatively regulate th1 response we datum suggest that tim3 and its interaction with gal9 may play a important role in the pathogenesis of ra and may represent a potential therapeutic target	Inflammation.
19280342	lee jirapatnakul reeves crowe sarelius	vessel diameter measurement from intravital microscopy	the blood vessel diameter be often measure in microcirculation study to quantify the effect of various stimulus intravital video microscopy be use to measure the change in vessel diameter by first record the video and analyze it use electronic caliper or by use image shearing technique manual measurement use electronic caliper or image shearing be timeconsuming and prone to measurement error and automate measurement can serve as a alternative that be faster and more reliable in this paper a new featurebased tracking algorithm be present for automatically measure diameter of vessel in intravital video microscopy image sequence we method track the vessel diameter throughout the entire image sequence once the diameter be mark in the first image the parameter be calibrate use the intravital video with manual ground truth measurement the experiment with 10 synthetic video and 20 intravital microscopy video include 10 fluorescence confocal and 10 nonconfocal transmission show that the measurement can be perform accurately	Ann_Biomed_Eng.
19965248	lee biancardi reeves yankelevitz henschke	estimation of anatomical locations using standard frame of reference in chest ct scans	we propose a method to establish the standard chest frame of reference lrb cfor rrb use the rib cage in a lung ct scan such a reference frame be essential for refer to a certain location within a chest region and may facilitate the registration across multiple scan of a give subject as well as the comparative study within a cohort of subject the robustness of the established cfor be evaluate by estimate the anatomical location within chest in the followup scan give the location in the first scan specifically tracheal bifurcation point of airway tree and the center of pulmonary nodule be use as the anatomical point of interest the cfor be also use for explore the spatial distribution of the anatomical location for a large number of individual the result show that on average the point of interest can be estimate accurately within 103 mm for the bifurcation point and within 125 mm for the pulmonary nodule s center point further analyze the spatial distribution of the cfor coordinate across 86 subject show that we can localize the bifurcation point to the small subregion within the cfor	Conf_Proc_IEEE_Eng_Med_Biol_Soc.
21347015	lee beahm crosby reece markey	analysis of breast contour using rotated catenary	surgical reconstruction of naturalappearing breast be a challenging task currently surgical planning be limit to the surgeon s subjective assessment of breast morphology therefore it be useful to develop objective measurement of breast contour in this paper a novel quantitative measure of the breast contour base on catenary theory be introduce a catenary curve be fit on the breast contour lrb lateral and inferior rrb and the key parameter determine the shape of the curve be extract the new catenary analysis be apply to pre and postoperative clinical photograph of woman who undergo tissue expanderimplant lrb teimplant rrb reconstruction a logistic regression model be develop to predict the probability that the observe contour be that of a teimplant reconstruction from the catenary parameter patient age and patient body mass index it be demonstrate that the parameter contain useful information for distinguish teimplant reconstruct breast from preoperative breast	AMIA_Annu_Symp_Proc.
21494398	lee kawale merchant weston fingeret ladewig reece crosby beahm markey	validation of stereophotogrammetry of the human torso	the objective of this study be to determine if measurement of breast morphology compute from threedimensional lrb 3d rrb stereophotogrammetry be equivalent to traditional anthropometric measurement obtain directly on a subject use a tape measure 3d torso image of 23 woman range in age from 36 to 63 who undergo or be schedule for breast reconstruction surgery be obtain use a 3dmd torso system lrb 3q technologies inc atlanta ga rrb two different type lrb contoured and lineofsight distance rrb of a total of nine distance be compute from 3d image of each participant each participant be photograph twice first without fiducial point marked lrb refer to as unmarked image rrb and second with fiducial point mark prior to imaging lrb refer to as marked image rrb stereophotogrammetry be compare to traditional direct anthropometry in which measurement be take with a tape measure on participant three statistical analysis be use to evaluate the agreement between stereophotogrammetry and direct anthropometry seven out of nine distance show excellent agreement between stereophotogrammetry and direct anthropometry lrb both marked and unmarked image rrb in addition stereophotogrammetry from the unmarked image be equivalent to that of the marked image lrb both lineofsight and contoured distance rrb a lower level of agreement be observe for some measure because of difficulty in localize more vaguely define fiducial point such as lowest visible point of breast mound and inability of the imaging system in capture area obscure by the breast such as the inframammary fold stereophotogrammetry from 3d image obtain from the 3dmd torso system be effective for quantify breast morphology tool for surgical planning and evaluation base on stereophotogrammetry have the potential to improve breast surgery outcome	Breast_Cancer_(Auckl).
22271826	lee chen reece crosby beahm markey	a novel quantitative measure of breast curvature based on catenary	quantitative objective measurement of breast curvature compute from clinical photograph could be use to investigate factor that impact reconstruction and facilitate surgical planning this paper introduce a novel quantitative measure of breast curvature base on catenary a catenary curve be use to approximate the overall curvature of the breast contour and the curvature measure be extract from the catenary curve the catenary curve be verify by compare its length the area enclose by the curve and the curvature measure from the catenary curve to those from manual tracing of the breast contour the evaluation of the proposed analysis employ untreated and postoperative clinical photograph of woman who be undergo tissue expanderimplant lrb teimplant rrb reconstruction logistic regression model be develop to distinguish between the curvature of breast undergo teimplant reconstruction and that of untreated breast base on the curvature measure and patient variable lrb age and body mass index rrb the relationship between the curvature measure of untreated breast and patient variable be also investigate the catenary curve approximate breast curvature reliably the curvature measure contain useful information for quantify the curvature difference between breast undergo teimplant reconstruction and untreated breast and identify the effect of patient variable on the breast shape	IEEE_Trans_Biomed_Eng.
23366915	lee muralidhar reece markey	a shape constrained parametric active contour model for breast contour detection	quantitative measure of breast morphology can help a breast cancer survivor to understand outcome of reconstructive surgery one bottleneck of quantify breast morphology be that there be only a few reliable automation algorithm for detect the breast contour this study propose a novel approach for detect the breast contour which be base on a parametric active contour model in addition to employ the traditional parametric active contour model the propose approach enforce a mathematical shape constraint base on the catenary curve which have be previously show to capture the overall shape of the breast contour reliably the mathematical shape constraint regulate the evolution of the active contour and help the contour evolve towards the breast while minimize the undesired effect of other structure such as the nippleareola and scar the efficacy of the propose approach be evaluate on anterior posterior photograph of woman who undergo or be schedule for breast reconstruction surgery include autologous tissue reconstruction the propose algorithm show promising result for detect the breast contour	Conf_Proc_IEEE_Eng_Med_Biol_Soc.
24110535	lee fingeret teo hanasono skoracki markey	quantitative measures of facial expression for patients with head and neck cancer	in addition to change in facial morphology head and neck cancer treatment can impact the facial expression quantification of change in facial expression particularly of smile would enable a deeper understanding of the relationship between physical change and psychosocial adjustment in patient be treat for facial cancer this study propose 48 quantitative facial expression measure which consist of the length normalize distance and slope between 27 manually annotated fiducial point on standard 2d clinical photograph of patient with head and neck cancer use the propose measure the maximum intensity of smile for patient with head and neck cancer prior to they treatment be compare to that of a sample from a healthy population a total of 7 facial expression measure capture statistically significant difference between patient with head and neck cancer and healthy individual these measure suggest that patient with head and neck cancer be less expressive than people without head and neck cancer this study be the first attempt to quantify the facial expression of patient with head and neck cancer and to build a foundation for study how surgical intervention may affect they facial expression moreover this study lay the groundwork for future investigation of the relationship between facial expression and psychosocial adjustment in cancer patient	Conf_Proc_IEEE_Eng_Med_Biol_Soc.
2315695	lee gustafsson magnusson jacobson	the direction of membrane lipid flow in locomoting polymorphonuclear leukocytes	the objective of this study be to determine the direction of membrane lipid flow in locomoting cell the plasma membrane of human polymorphonuclear leukocyte be stain with a fluorescent lipid analog dihexadecanoyl indocarbocyanine a line be photobleach on the cell surface perpendicular to the direction of cell motion lowlightlevel fluorescence microscopy and digital imageprocessing technique be use to analyze a series of image take at short interval after photobleach the bleached line remain visible for about 5 seconds before be erase by diffusional recovery examination of fluorescence intensity profile allow a comparison to be make between the velocity of line and cell movement result indicate that the bleached line move forward with the same velocity as the cell during locomotion refute the retrograde lipid flow model of locomotion instead the plasma membrane lipid appear to move forward accord to either the unit movement of membrane or the tank track model of locomotion	Science.
7806573	lee leonard oliver ishihara jacobson	traction forces generated by locomoting keratocytes	traction force produce by move fibroblast have be observe as distortion in flexible substratum include wrinkling of thin silicone rubber film traction force generate by fibroblast lamella be think to represent the force require to move the cell forwards however traction force could not be detect with faster move cell type such as leukocyte and growth cone lrb harris a k d stopak and p wild 1981 nature lrb lond rrb 290249 251 rrb we have develop a new assay in which traction force produce by rapidly locomote fish keratocyte can be detect by the twodimensional displacement of small bead embed in the plane of a elastic substratum traction force be not detect at the rapidly extend front edge of the cell instead the largest traction force be exert perpendicular to the left and right cell margin the maximum traction force exert by keratocyte be estimate to be approximately 2 x 10 lrb 8 rrb n the pattern of traction force can be relate to the locomotion of a single keratocyte in term of lamellar contractility and area of close cellsubstratum contact	J_Cell_Biol.
8450887	lee ishihara theriot jacobson	principles of locomotion for simpleshaped cells	move cell display a variety of shape and mode of locomotion but it be not clear how motility at the molecular level relate to the locomotion of a whole cell a problem compound in study of cell with complex shape a striking feature of fish epidermal keratocyte locomotion be its apparent simplicity here we present a kinematic description of locomotion which be consistent with the semicircular shape and persistent glide motion of fish epidermal keratocyte we propose that extension of the front and retraction of the rear of these cell occur perpendicularly to the cell edge and that a grade distribution of extension and retraction rate along the cell margin maintain cell shape and size during locomotion evidence for this description be provide by the predict circumferential motion of lamellar feature and the curvature of photomarked line within specific molecular component of move keratocyte we description relate the dynamics of molecular assembly to the movement of a whole cell	Nature.
9427291	lee jacobson	the composition and dynamics of cellsubstratum adhesions in locomoting fish keratocytes	close contact be the predominant type of cellsubstratum adhesion in rapidly move cell yet little be know about they composition and dynamics to address these issue we have attempt to identify the molecular component of close contact form in rapidly move fish epithelial keratocyte in addition we have utilize the simple shape of keratocyte to explore the relationship between close contact formation and rapid locomotion beta1 integrin and talin molecule be find to be localized within a narrow rim of very close contact along the lead edge these molecule together with vinculin be also find within small focus distribute evenly throughout the lamella correspond to region of variable close contact alphaactinin be find in focus within older more posteriorly located region of the lamella and along stress fiber in addition to close contact small focal adhesionlike structure which stain positively for all antibody test be find at the tip of stress fiber within retract cell margin interference reflection and total internal reflection microscopy of move keratocyte show cellsubstratum contact to be organize into distinct pattern that appear to move forwards in concert with the lead edge a feature common to all cell be a rim of very close contact at the lead edge this region be specialize for the formation of new cellsubstratum adhesion and be the site where pattern of close contact be generate we have find that cell locomotion be most rapid when a uniform contact pattern be present but cell speed be progressively reduce as the contact pattern become more irregular furthermore the local rate of lamellar extension be most rapid when underlain by region of intermediate closeness to the substratum but be reduce or cease if the underlie contact be either very close or more distant respectively we result suggest that close contact and focal adhesion be related structure form from a common hierarchy of molecular interaction in addition the relationship between close contact formation and lamellar extension indicate a direct coupling between these two process at the lead edge furthermore we can explain the dynamic behaviour of close contact in term of the relative rate of trapping and release of component molecule that be initiate at the lead edge we suggest that regulation of the molecular dynamics involve in lead edge specialization determine both the pattern of cellsubstratum contact and the net rate of actin filament assembly	J_Cell_Sci.
10432119	lee ishihara oxford johnson jacobson	regulation of cell movement is mediated by stretchactivated calcium channels	intracellular calcium regulate many of the molecular process that be essential for cell movement it be require for the production of actomyosinbased contractile force the regulation of the structure and dynamics of the actin cytoskeleton and the formation and disassembly of cellsubstratum adhesion calcium also serve as a second messenger in many biochemical signaltransduction pathway however despite the pivotal role of calcium in motile process it be not clear how calcium regulate overall cell movement here we show that transient increase in intracellular calcium lsb ca2 rsb i during the locomotion of fish epithelial keratocyte occur more frequently in cell that become temporarily stick to the substratum or when subject to mechanical stretch we find that calcium transient arise from the activation of stretchactivated calcium channel which trigger a influx of extracellular calcium in addition the subsequent increase in lsb ca2 rsb i be involve in detachment of the rear cell margin thus we have define a mechanism by which cell can detect and transduce mechanical force into biochemical signal that can modulate locomotion	Nature.
17613313	lee	the use of gelatin substrates for traction force microscopy in rapidly moving cells	the study of traction force generate by rapidly move cell require the use of substrate that be highly elastic because these cell typically generate weaker traction force than slower moving cell gelatin substrate be soft enough to allow deformation by rapidly move cell such as fish epidermal keratocyte and dictyostelium discoideum amoeba in addition gelatin substrate be thin lrb approximately 3040 microm rrb and transparent allow they to be use in combination with highresolution calcium imaging importantly the responsiveness of gelatin substrate allow change in traction force generation to be detect within seconds correspond to the timescale of calcium transient here we describe the manufacture and application of gelatin substrate to study the role of mechanochemical signaling in the regulation of keratocyte movement we show how pattern of traction force generation can be analyze from a time series of traction vector map and how to interpret they in relation to cell movement in addition we discuss how the gelatin traction force assay be be use to study the mechanic of dictyostelium cell motility and future application such as the study of neuronal path finding	Methods_Cell_Biol.
18163751	lee king	microcantilever actuation via periodic internal heating	this paper report electrothermal actuation of silicon microcantilever have integrate resistive heater periodic electrical excitation induce periodic resistive heating in the cantilever while the cantilever deflection be monitor with a photodetector excitation be either at the cantilever resonant frequency f lrb 0 rrb f lrb 0 rrb 2 or f lrb 0 rrb 3 when the time average maximum cantilever temperature be 174 degree c the cantilever outofplane actuation amplitude be 484 nm near the cantilever resonance frequency of 249 khz this actuation be sufficiently large to operate the cantilever in intermittent contact mode and scan a calibration grate of height of 20 nm	Rev_Sci_Instrum.
18513084	lee king	microthermogravimetry using a microcantilever hot plate with integrated temperaturecompensated piezoresistive strain sensors	this paper report thermogravimetric analysis of nanogram sample of paraffin use a microcantilever hot plate the microcantilever hot plate have a integrated temperaturecontrolled heater and integrate temperaturecompensated strainsensing piezoresistor the microcantilever vibration amplitude be measure use either a laser and a position sensitive photodiode or use the piezoresistor the cantilever resonance be measure as the cantilever be heat such that the analyte mass could be measure as a function of temperature both optical and piezoresistive method be employ to generate thermogravimetric curve for analyte in the range of 13 ng and the result of the two method compare well	Rev_Sci_Instrum.
19245239	lee liao pop king	electrical and thermal coupling to a singlewall carbon nanotube device using an electrothermal nanoprobe	we utilize a multifunctional atomic force microscope lrb afm rrb cantilever apply highly localized temperature and electric field to interrogate transport in singlewall carbon nanotube fieldeffect transistor lrb cntfet rrb the probe can be operate either in contact with the cnt in intermittent contact or as a kelvin probe and can independently control the electric field mechanical force and temperature apply to the cnt we modulate current flow in the cnt with tipapplied electric field and find this fieldeffect depend upon both cantilever heating and cnt selfheating cnt transport be also investigate with afm tip temperature up to 1170 degree c tipcnt thermal resistance be estimate at 16 x 10 lrb 7 rrb kw and decrease with increase temperature threshold force lrb 100 nn rrb for reliable contact mode imaging be extract and use to determine set point for nanotube manipulation such as displacement or cutting the ability to measure thermal coupling to a singlemolecule electronic device could offer new insight into nanoelectronic device	Nano_Lett.
14507370	lee lee lee yun turgeon	shifting fungal reproductive mode by manipulation of mating type genes obligatory heterothallism of gibberella zeae	fungus capable of sexual reproduction use heterothallic lrb selfsterile rrb or homothallic lrb selffertile rrb mating strategy in most ascomycete a single mating type locus mat with two alternative form lrb mat11 and mat12 rrb call idiomorph control mating ability in heterothallic ascomycete these alternative idiomorph reside in different nucleus in contrast most homothallic ascomycete carry both mat11 and mat12 in a single nucleus usually closely link a example of the latter be gibberella zeae a species that be capable of both selfing and outcrossing g zeae be a devastating cereal pathogen of ubiquitous geographical distribution and also a producer of mycotoxin that threaten human and animal health we ask whether g zea could be make strictly heterothallic by manipulation of mat target gene replacement be use to differentially delete mat11 or mat12 from a wildtype haploid mat11 mat12 strain result in mat11 mat12 mat11 mat12 strain that be selfsterile yet able to cross to wildtype tester and more importantly to each other these result indicate that differential deletion of mat idiomorph eliminate selfing ability of g zeae but the ability to outcross be retain they also indicate that both mat idiomorph be require for selffertility to we knowledge this be the first report of complete conversion of fungal reproductive strategy from homothallic to heterothallic by target manipulation of mat practically this approach open the door to simple and efficient procedure for obtain sexual recombinant of g zea that will be useful for genetic analysis of pathogenicity and other trait such as the ability to produce mycotoxin	Mol_Microbiol.
18263740	lee jurgenson leslie bowden	alignment of genetic and physical maps of gibberella zeae	we previously publish a genetic map of gibberella zeae lrb fusarium graminearum sensu lato rrb base on a cross between kansas strain z3639 lrb lineage 7 rrb and japanese strain r5470 lrb lineage 6 rrb in this study that genetic map be align with the third assembly of the genomic sequence of g zeae strain ph1 lrb lineage 7 rrb use seven structural gene and 108 sequence amplify fragment length polymorphism marker several linkage group be combine base on the alignment the nine original linkage group be reduce to six group and the total size of the genetic map be reduce from 1286 to 1140 centimorgan nine supercontig comprise 992 of the genomic sequence assembly be anchor to the genetic map eight marker lrb four marker from each parent rrb be not find in the genome assembly and four of these marker be closely link suggest that 150 kb of dna sequence be miss from the ph1 genome assembly the alignment of the linkage group and supercontig yield four independent set which be consistent with the four chromosome report for this fungus two propose heterozygous inversion be confirm by the alignment otherwise the colinearity of the genetic and physical map be high two of four region with segregation distortion be explain by the two selectable marker employ in make the cross the average recombination rate for each chromosome be similar to those previously report for g zeae despite a infer history of genetic isolation of lineage 6 and lineage 7 the chromosome of these lineage remain homologous and be capable of recombination along they entire length even within the inversion this genetic map can now be use in conjunction with the physical sequence to study phenotype lrb eg fertility and fitness rrb and genetic feature lrb eg centromere and recombination frequency rrb that do not have a known molecular signature in the genome	Appl_Environ_Microbiol.
18503004	lee leslie bowden	expression and function of sex pheromones and receptors in the homothallic ascomycete gibberella zeae	in heterothallic ascomycete fungus idiomorphic allele at the mat locus control two sex pheromonereceptor pair that function in the recognition and chemoattraction of strain with opposite mating type in the ascomycete gibberella zeae the mat locus be rearrange such that both allele be adjacent on the same chromosome strain of g zea be selffertile but can outcross facultatively we objective be to determine if pheromone retain a role in sexual reproduction in this homothallic fungus putative pheromone precursor gene lrb ppg1 and ppg2 rrb and they corresponding pheromone receptor gene lrb pre2 and pre1 rrb be identify in the genomic sequence of g zeae by sequence similarity and microsynteny with other ascomycete ppg1 a homolog of the saccharomyces alphafactor pheromone precursor gene be express in germinate conidia and mature ascospore expression of ppg2 a homolog of the afactor pheromone precursor gene be not detect in any cell pre2 be express in all cell but pre1 be express weakly and only in mature ascospore ppg1 or pre2 deletion mutation reduce fertility in selffertilization test by approximately 50 deltappg1 reduce male fertility and deltapre2 reduce female fertility in outcrossing test in contrast deltappg2 and deltapre1 have no discernible effect on sexual function deltappg1deltappg2 and deltapre1deltapre2 double mutant have the same phenotype as the deltappg1 and deltapre2 single mutant thus one of the putative pheromonereceptor pair lrb ppg1pre2 rrb enhance but be not essential for selfing and outcrossing in g zeae whereas no functional role be find for the other pair lrb ppg2pre1 rrb	Eukaryot_Cell.
19304830	lee chang kim yun leslie lee	genetic diversity and fitness of fusarium graminearum populations from rice in korea	fusarium graminearum be a important fungal pathogen of cereal crop and produce mycotoxin such as the trichothecene nivalenol and deoxynivalenol this species may be subdivide into a series of genetic lineage or phylogenetic species we identify strain of f graminearum from the republic of korea to lineage test they ability to produce nivalenol and deoxynivalenol and determine the genetic composition and structure of the population from which they be recover base on amplify fragment length polymorphism lrb aflp rrb pcr genotyping and chemical analysis of trichothecene all 249 isolate from southern province belong to lineage 6 with 241 have the nivalenol genotype and 8 have the deoxynivalenol genotype in the eastern korea province we recover 84 lineage 6 isolate with the nivalenol genotype and 23 lineage 7 isolate with the deoxynivalenol genotype among 333 lineage 6 isolate 36 of the aflp band be polymorphic and there be 270 multilocus haplotype genetic identity among population be high lrb 0972 rrb and genotype diversity be low lrb 30 to 58 rrb to test the adaptation of lineage 6 to rice conidial mixture of strain from lineage 3 6 and 7 be inoculate onto rice plant and then recover from the rice grain produce strain represent lineage 6 and 7 be recover from inoculate spikelet at similar frequency that be much higher than those for the strain represent lineage 3 abundant perithecia be produce on rice straw and 247 singleascospore isolate be recover from 247 perithecia perithecia represent lineage 6 lrb 87 rrb be the most common follow by those represent lineage 7 lrb 13 rrb with perithecia represent lineage 3 not detect these result suggest that f graminearum lineage 6 may have a host preference for rice and that it may be more fit in a rice agroecosystem than be the other lineage present in korea	Appl_Environ_Microbiol.
